,,,,,,,,,
T,cp,h,s,PR,,,,,
2480.,1.276,2556.6,9.0748,5335.,,,,,
2485.,1.276,2563.0,9.0773,5383.,,,,,
2490.,1.277,2569.4,9.0799,5432.,,,,,
2495.,1.277,2575.8,9.0825,5480.,,,,,
2500.,1.277,2582.1,9.0850,5529.,,,,,
2505.,1.277,2588.5,9.0876,5579.,,,,,
2510.,1.277,2594.9,9.0901,5628.,,,,,
2515.,1.278,2601.3,9.0927,5678.,,,,,
2520.,1.278,2607.7,9.0952,5729.,,,,,
2525.,1.278,2614.1,9.0977,5780.,,,,,
2530.,1.278,2620.5,9.1003,5831.,,,,,
2535.,1.278,2626.9,9.1028,5882.,,,,,
2540.,1.279,2633.2,9.1053,5934.,,,,,
2545.,1.279,2639.6,9.1078,5986.,,,,,
2550.,1.279,2646.0,9.1103,6039.,,,,,
2555.,1.279,2652.4,9.1128,6092.,,,,,
2560.,1.279,2658.8,9.1153,6145.,,,,,
2565.,1.279,2665.2,9.1178,6199.,,,,,
2570.,1.280,2671.6,9.1203,6253.,,,,,
2575.,1.280,2678.0,9.1228,6307.,,,,,
2580.,1.280,2684.4,9.1253,6362.,,,,,
2585.,1.280,2690.8,9.1278,6417.,,,,,
2590.,1.280,2697.2,9.1302,6473.,,,,,
2595.,1.281,2703.6,9.1327,6529.,,,,,
2600.,1.281,2710.0,9.1352,6585.,,,,,
2605.,1.281,2716.4,9.1376,6642.,,,,,
2610.,1.281,2722.8,9.1401,6699.,,,,,
2615.,1.281,2729.2,9.1426,6756.,,,,,
2620.,1.281,2735.6,9.1450,6814.,,,,,
2625.,1.282,2742.1,9.1474,6872.,,,,,
2630.,1.282,2748.5,9.1499,6931.,,,,,
2635.,1.282,2754.9,9.1523,6990.,,,,,
2640.,1.282,2761.3,9.1547,7049.,,,,,
2645.,1.282,2767.7,9.1572,7109.,,,,,
2650.,1.283,2774.1,9.1596,7169.,,,,,
